customer_uid,is_business,has_account,bill_state,acquisition_channel
7d30104b82c22393003ac3c07b491c15,False,False,OK,coupon aggregator
77a48e4c4a69458d3421c54058350f93,False,False,CA,organic search
c9fe0dadc9e25ab478144bbd3a0ae750,False,False,WA,organic search
7a8bdb597d753c6c7430ea4e1d52fc48,False,False,TX,organic search
becb1413c375caba8707085efaac08e9,False,False,IL,organic search
a3d2b466a745152890b67395d2a5bf15,False,False,NY,direct
44bb3b3baa83c09bfb75120433a1fdfe,False,False,NC,organic search
c8f851a61cb0233836bfc8f5a2989449,True,True,VA,paid search
7893731ae4f3f65e19242ecf3e667d58,False,False,FL,coupon aggregator
8d8b8f98dc013c9640037e070f682e1f,False,False,FL,organic search
7fa2eb2d16bf37684de3410e06c9bcf6,False,True,SC,organic search
fb115d4e6f41d135e989342d2fbca4b1,False,False,OH,organic search
0df472db59ab9098d06a29763f960d44,False,False,MD,organic search
fd3f85b522aa3300302c6a79665abea3,False,False,TX,direct
b843f0a33b65e4843a552e9c8829f264,False,False,MD,coupon aggregator
ff1230c668cbd07afb7f8a6414bbc790,False,True,CA,coupon aggregator
3de9678512bab395721d089654d1042d,False,False,FL,organic search
dcfbf0072a1423d725488f23bf138fe1,True,True,PA,paid search
eb74a8756e178ea4cae7bcc82c55c7f0,False,False,FL,direct
ff697d2d931f7136886131f2255f0dc0,False,False,IN,direct
3c269348eea6781345ef01bcf9b6f200,True,True,NJ,organic search
8e35a261caa4e77c905644bccbf205fc,False,False,TX,organic search
f165935fa1a79557d0c20e5368a7fad0,False,False,TN,direct
bf32a02aef726179b395c9344d1cb43a,False,True,VA,direct
b0ded69ea91560f5393f6cb4e371b114,False,False,MO,direct
0c70157a3032ac32eafa0f17e34809ca,False,False,MO,organic search
0494d8acfcb4a669080a681a5371fbf2,True,True,TX,paid search
1b8c85290528cb21458cc58d423302ee,False,False,VT,organic search
b585d8f469db334a4124230e1d0b7477,False,True,OH,organic search
f70a547d14f2ea1a8ea290e6e3940dcb,False,True,CA,direct
86723e953c20260ae9cf5a3ab7c042a8,False,True,TX,direct
f73e33ea68b51ad00b7e4c4f67d3d605,False,True,MO,organic search
89dd97b49421a3713b6e9149a8a659d7,False,False,IA,organic search
763d70143303f3a60f899be3590b54a1,False,False,MI,organic search
74ae1c5c093c9e6f3227eec1aff5378d,False,False,GA,organic search
55fa73a56f91dbd06c0d98092d9dd4e1,True,False,CA,organic search
d72ddbadcfad74dabb706ab7aa7b8a93,False,False,FL,paid social
88b52ec0a533f7753adda8e88a24437b,False,True,CA,direct
75b18166b61a47e5ca2537b2795dec2d,False,True,MS,organic search
c0ddbf3f68dcbc945582927856c9473c,False,False,TX,organic search
eb76b0298d57542bdfe2043835f32d3a,False,False,IL,organic search
07c05e8ee39b06b4c81a108b2f531be9,False,False,VA,organic search
f9c578d17da31a9b611193edaa00e6af,False,True,TX,direct
924a299002ae424ffdccfb943889f91c,False,False,CA,organic search
0406b50d46ec9f9fd96dd0bcbe9a84ed,False,True,MA,organic search
32631275846703ca78b399292377ebb8,False,True,TX,organic search
f9d06e93a59e4d04cadaea4f2a3ae119,True,True,FL,organic search
9aae16211c1aa2479be2407fc9eba744,False,False,TX,organic search
7f0d5a6c6f41a192cfacc4fa5f2765e7,False,False,CA,organic search
e052c9437e77aaf1725f8632e85b8c3e,False,False,GA,direct
35dcfecd0c25e398c5229467f0b2330e,False,True,FL,organic search
10075d38b9b793c176fdb2c2fa515bef,False,True,FL,direct
16fedf265e0b16cea6cad30f7c79e427,True,False,WA,organic search
da2ecbf8fedc2920c2929b10c76223f4,False,False,IL,organic search
db2087fdb2c42b1abbde0169702ffb71,False,False,SC,coupon aggregator
8e8187b2fbf60b47cf58aef7b0f1b56c,False,False,PA,direct
e8e95890fe0266b15f7320c006c25435,False,False,CT,direct
0daa09f5fa4073d9c4076e3aa5ad93ab,True,True,MI,paid search
ee3c65a4922dca9526f3e4577fb013b8,False,False,NY,organic search
2fe335597eba177d7441cac8c0de7788,False,True,NC,organic search
632bdb22f031c4dd70948cf0bd1b5d6b,False,False,FL,direct
5fc30d8c9ec49e30333d253b6bf5f1c5,False,True,NJ,organic search
bcd53426cf2eb509ea95ee44abb39bf6,False,True,GA,direct
70f1a3e19c69aaf0ec4887be0fda03c4,False,False,MA,organic search
b3a7debdfe447c55865c260424f80bfd,False,False,KY,organic search
66ead9b6849c9e3c4169506d2e15182d,False,False,KY,organic search
60c50c55af97554f48e7f8c15ce7ebb9,False,False,TX,organic search
589d04a28bd6bf9ba6e2c5cfe0f69274,False,True,WI,direct
80c5534acdb4c6f5ee4e0c3ad976962f,False,True,NC,direct
13e32f334647eb50648a642e99aefc71,False,True,TX,organic search
d14fda53b42fc517ce1fca14ae8ab9bb,True,False,GA,paid search
fd18fbdf62efe1d52a61929ea5fba4a1,False,False,IL,organic search
fb2b5fe7042b093d179e9d859cbe88a1,False,False,GA,direct
71ad9d861a3853069c408b6171470f20,False,False,OH,organic search
75436fe36543458b7706366ce84e4651,False,True,TX,coupon aggregator
6bd3d495f47580fa052ad06df817f397,True,True,SD,paid search
a925a32f45af8bca664f4f7e6241a0e4,False,True,AR,organic search
8d5deebcb79cc6d91e8cbeebda5e94f6,False,True,TN,paid search
46f414eca9d93755ebc49676b44c4a29,True,True,SC,paid search
48c43909c7d30063a104b2d7df892f04,False,False,MO,organic search
62338d9dadc2f9dbb181b2a1dc7bfb5b,False,False,TN,direct
