order_id,customer_uid,order_timestamp,discount,ship_state,shipping_revenue,shipping_cost,returned
38831,a6730d49e0989b2cc0158c6182fafb93,2015-11-30 05:03:15.159,0.0,FL,0.0,6.8,False
45499,ae2e8c1fa5326e1f793d4c02f720156c,2015-11-30 19:52:10.830,0.0,TN,5.95,6.8,True
69415,ba200839cd304b8342f8c5d0eb4d7c75,2015-12-02 22:54:40.380,0.0,TN,0.0,6.8,False
68761,b34cf44effba2eeb4d2a4db55ffe49d7,2015-12-02 20:24:30.925,0.0,MI,0.0,6.8,False
120057,10cedfe0d36280b646ff877ac1d916cb,2015-12-07 22:59:26.486,0.04,OH,0.0,6.8,False
62086,c3208467545d9449f52563241a9e5d9d,2015-12-08 18:04:11.827,0.0,GA,0.0,6.8,False
143923,13cbffdf226cf5469b3c89bd3168576d,2015-12-11 04:25:55.136,0.04,MO,0.0,6.8,False
181223,d0da7c484927da23ac29d4ad00acc88d,2015-12-15 03:44:20.153,0.0,WA,7.95,6.8,False
201139,c9de51451d12502ea6ffe0728150ba42,2015-12-17 15:03:16.514,0.0,TX,7.95,6.8,False
32096,e39c17251e5e11bb17350875b2a36a2a,2015-12-20 20:58:55.271,0.0,OH,7.95,6.8,False
216654,8fac51efd1f3ed23555389943d0b22c8,2015-12-22 23:30:20.983,0.0,SC,7.95,6.8,False
284964,a8cd984e4d7d0b4f3cb836698415d196,2016-01-04 17:57:43.775,0.0,TN,0.0,6.8,False
250199,1b0ad654bcf349460ec536742616f1ce,2015-12-29 22:06:57.922,0.0,CA,0.0,6.8,False
303724,33cfcf2abb8ed4847c0f5e4ca51cc3c8,2016-01-13 23:52:02.461,0.04,WA,0.0,0.0,False
37597,600ec569914ce7854e81f88c0ed11ce0,2016-01-06 22:07:15.622,0.04,AL,0.0,6.8,False
352318,2d1fb2eeca1623b57d5d5c1793291113,2016-01-15 17:16:23.145,0.0,GA,0.0,6.8,False
336848,a60bf8e984878873b9549b82dbaf3ce3,2016-01-13 01:27:09.546,0.075,CA,0.0,0.0,False
151630,349d9a34c2b0d6d5cfcfb486cace883c,2016-01-20 11:16:35.384,0.0,WV,7.95,6.8,False
225618,548a890fda1be7ad2a53c247b54c4adc,2016-01-21 03:39:02.506,0.0,LA,7.95,6.8,True
408386,18a596b332a9cd0dd5b628018e5bc8e0,2016-01-26 20:39:52.826,0.0,TX,5.95,6.8,False
415164,b6c761f5aba9e25ed54c2a6091f2a4ea,2016-01-26 16:26:45.591,0.075,MA,0.0,6.8,False
451092,b36d6599854cd7c587d9c50617e3388f,2016-02-01 17:02:07.528,0.0,FL,5.95,6.8,False
